"Data Source","World Development Indicators",

"Last Updated Date","2016-08-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Cayman Islands","CYM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","1530","1820","2410","3410","4070","4510","4220","4360","4480","5090","6450","8090","8770","9510","9670","11230","11190","11900","12610","13790","14230","15330","14200","14070","14040","14340","16580","20030","23580","25740","28450","31330","32050","30910","31220","28800","27280","26510","25930",
"Czech Republic","CZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3330","3470","4130","5090","5930","6110","6060","6070","6320","6320","6620","8060","10210","12380","13920","15740","18300","18650","19210","19400","19270","19170","18690","18050",
"Germany","DEU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","3610","4680","5800","6730","7140","7680","8880","11070","13030","12560","11140","10040","9890","9850","11260","14260","18650","19790","21340","22920","25860","25990","27530","29560","30910","30200","27990","26880","26210","24790","23710","26230","31730","35880","38370","40700","43870","43810","44790","46480","46680","46390","47500","45790",
"Djibouti","DJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","770","770","770","750","740","720","740","760","780","800","890","980","1030","","","","","","","","","","",
"Dominica","DMA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","570","780","950","980","980","1090","1170","1460","1750","2090","2100","2300","2390","2590","2750","2830","2980","3080","3190","3360","3340","3600","4150","4360","4810","5080","5140","5480","5760","6330","6510","6700","6890","6780","6710","6960","6760",
"Denmark","DNK","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","3310","3690","4350","5600","6850","8150","9040","9850","11250","13670","15240","14330","12980","11800","11610","11940","14140","17870","22300","23240","24530","25720","28930","28780","30600","32830","35040","35320","33580","33130","32660","31440","30870","34850","42760","49620","53520","55700","60260","59840","60820","61490","60580","61770","61950","58590",
"Dominican Republic","DOM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","220","240","260","230","250","250","250","280","340","370","430","520","610","710","780","830","890","1030","1160","1230","1240","1260","1360","1040","1000","930","910","900","870","1030","1320","1580","1700","1910","2140","2300","2380","2470","2630","2650","2810","2590","2480","2910","3470","4260","4610","4830","5280","5420","5660","5840","6020","6130",
"Algeria","DZA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","190","230","240","240","230","250","280","310","330","310","430","530","710","910","1050","1140","1350","1670","2010","2220","2280","2210","2260","2390","2590","2810","2750","2540","2360","1990","1890","1720","1610","1550","1510","1500","1530","1530","1590","1660","1720","1920","2240","2710","3100","3590","4200","4280","4470","4590","5200","5520","5490","4870",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","71.3631430984192","77.5497941137654","86.2758239976312","97.819575884098","105.881976233908","99.9133973087329","96.6968294009032","108.264055792172","121.286734176762","124.521225486356","131.57864411437","159.136091204256","186.413347849633","217.107682866885","212.389328459986","226.173056069302","241.943609446422","266.434293854859","294.556746170909","312.872231416819","310.72907422005","309.303645395141","324.916591075365","346.593585988767","366.679546841473","382.690711351554","403.801879415718","407.600334507862","425.368597319469","450.103520198461","500.592470220108","548.980084623848","612.940628922627","701.708321527753","816.082910860215","884.466660096583","830.239562839042","853.889271360363","912.183990500981","979.332671766161","1058.09744285842","1213.46844724747","1426.28818289439","1641.33164604405","1897.50588239662","2275.15754940312","2771.97092563464","3218.01986508862","3756.85327505332","4324.75832162497","5056.01379985758","5689.52451361243","6157.37246044088","6407.08976440168",
"Early-demographic dividend","EAR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","182.258865883507","186.578154237704","190.623888051977","196.533152261802","210.061183305358","221.275727932646","234.53715998887","252.46974616318","300.221519682831","385.359126118365","465.798082745947","507.110061664328","520.34747223162","560.645566560726","652.20383902404","771.559628708577","871.162800670583","849.293059470718","796.161195633832","760.056108324584","752.951912717571","770.389337824048","812.062146397373","846.145231126865","821.988860815433","857.497805183729","889.847129291625","983.925163825814","1042.71335651738","1091.89637023381","1107.1081615962","1160.85932766005","1200.49895427577","1167.39084383899","1179.99071427164","1241.76087690492","1255.42629150009","1221.23065307402","1303.56179763831","1489.4299635963","1717.65273853129","1924.6224616889","2189.07706956804","2450.0372990413","2545.35706783403","2766.03405608747","2986.26281646802","3270.47009591587","3389.32837899938","3399.20202793036","3324.10528682192",
